pair,buy count,avg profit %,cum profit %,tot profit BTC,tot profit %,avg duration,profit,loss,
ETH/BTC,12,0.50,6.01,0.00060143,0.40,1 day,18:14:00,11,1,
LTC/BTC,11,-0.21,-2.27,-0.00022747,-0.15,2 days,0:08:00,9,2,
ETC/BTC,14,0.58,8.08,0.00080889,0.54,1 day,14:14:00,13,1,
DASH/BTC,6,-1.18,-7.09,-0.00070949,-0.47,4 days,13:38:00,4,2,
ZEC/BTC,15,0.28,4.15,0.00041551,0.28,1 day,12:05:00,13,2,
XLM/BTC,14,0.20,2.81,0.00028100,0.19,1 day,3:41:00,13,1,
POWR/BTC,23,1.06,24.47,0.00244903,1.63,19:25:00,22,1,
ADA/BTC,16,0.64,10.26,0.00102665,0.68,1 day,9:35:00,15,1,
XMR/BTC,18,0.80,14.45,0.00144660,0.96,1 day,1:47:00,17,1,
BNB/BTC,10,-0.53,-5.34,-0.00053445,-0.36,2 days,5:54:00,8,2,
QLC/BTC,24,0.76,18.24,0.00182549,1.22,18:13:00,21,3,
KMD/BTC,19,-0.16,-3.06,-0.00030664,-0.20,15:59:00,17,2,
WTC/BTC,22,0.94,20.76,0.00207767,1.38,11:31:00,21,1,
TRX/BTC,18,0.49,8.80,0.00088100,0.59,1 day,0:56:00,17,1,
XRP/BTC,11,0.19,2.08,0.00020854,0.14,2 days,2:28:00,8,3,
EOS/BTC,19,0.12,2.24,0.00022392,0.15,1 day,5:35:00,16,3,
XVG/BTC,40,-0.35,-14.20,-0.00142121,-0.95,10:00:00,30,10,
NEO/BTC,15,-0.75,-11.30,-0.00113157,-0.75,1 day,6:45:00,12,3,
LINK/BTC,14,0.70,9.79,0.00097953,0.65,22:32:00,13,1,
ONT/BTC,18,-0.20,-3.58,-0.00035800,-0.24,18:18:00,15,3,
XEM/BTC,21,0.58,12.20,0.00122108,0.81,19:57:00,18,3,
VET/BTC,33,0.82,27.04,0.00270633,1.80,6:10:00,30,3,
ICX/BTC,18,0.40,7.14,0.00071424,0.48,18:49:00,15,3,
TOTAL,411,0.32,131.65,0.01317808,8.78,1 day,0:45:00,358,53,
